DD006973	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D000855;D003968;D001049;D003371;D006469;D006935;D006985;D015430;D012892;D018496;D001247;D005320;D009767;D013851;D002303;D005130;D005316;D019584;D006942;D002819;D006948;D009207;D017109;D014202;D003693;D003128;D008607;D006212;D009120;D009123;D013746;D017116;D006261;D019547;D010148;D005158;D006429;D011602;D004244;D006317;D014012;D006930;D006941;D006987;D010292;D004408;D019575;D003117;D004172;D006423;D001750;D014717;D006472;D000006;D003085;D054058;D014098;D003248;D006356;D002032;D012913;D004438;D011695;D011697;D053565;D011141;D000419;D003639;D005311;D004489;D005222;D005262;D005483;D007383;D009041;D019462;D006732;D012607;D000788;D020250;D004418;D007040;D006628;D006316;D009846;D020567;D011304;D002639;D013494;D016857;D053201;D003655;D019569;D002375;D053158
DD006943	D007035;D012640;D000855;D003968;D006935;D015430;D002100;D018496;D005320;D009767;D013851;D001264;D002819;D014202;D003693;D003128;D008607;D006212;D009120;D009123;D018589;D006429;D006930;D010292;D006423;D000006;D054058;D005414;D000419;D007383;D020250;D020567;D018458;D004884
DD003645	D007035;D003490;D011782;D012640;D001049;D003371;D006469;D006935;D006985;D053120;D009767;D002303;D003693;D003128;D008607;D009123;D006261;D011602;D004244;D006396;D012913;D011697;D000788;D007040;D014884
DD005911	D007035;D012640;D018496;D009207;D008607;D010148;D006930;D013494
DD007249	D007035;D018908;D011782;D012640;D000855;D003371;D006935;D015430;D002100;D012892;D018496;D005335;D009767;D013851;D002303;D006942;D051346;D002819;D003693;D008607;D009123;D017116;D006261;D012585;D010148;D005158;D018589;D006429;D011602;D004244;D006930;D006941;D006987;D010292;D014717;D000006;D054058;D014098;D004415;D012913;D016553;D011697;D000419;D007383;D014313;D000788;D055948;D003655
DD007511	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D000855;D003371;D006935;D006985;D015430;D018496;D009767;D002303;D005316;D006942;D051346;D006948;D009207;D004401;D003128;D008607;D009120;D009128;D009123;D013746;D017116;D006261;D012585;D010148;D005158;D018589;D006429;D014826;D004244;D006317;D014012;D006930;D006941;D006987;D010292;D004172;D006423;D015354;D014717;D000006;D003085;D054058;D003248;D004415;D006396;D041781;D011695;D011697;D011141;D000419;D003639;D005311;D007383;D012607;D054068;D009846;D020757;D053448;D053201;D003655
DD001265	D007035;D018908;D011782;D012640;D001049;D003371;D005130;D003128;D009120;D009123;D017116;D006261;D019547;D012585;D011602;D004244;D006312;D006317;D014012;D006987;D010292;D004172;D014717;D000006;D004438;D014008;D003639;D020069;D014550;D007383;D006732;D006316;D000648
DD013742	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D001049;D006985;D006948;D009207;D003128;D008607;D009120;D009128;D005158;D006429;D012133;D014826;D011602;D004244;D004172;D014717;D000006;D014313;D006732
DD007239	D007035;D003490;D011782;D012640;D000855;D003968;D001049;D003371;D015430;D002100;D001247;D005335;D013851;D006942;D002524;D002819;D009207;D008580;D002389;D003693;D003128;D008607;D009123;D006261;D005158;D018589;D006429;D011602;D006472;D000006;D054058;D011695;D016553;D011697;D011141;D003639;D005311;D014884
DD004660	D007035;D009127;D018908;D011782;D012021;D012640;D003968;D001247;D005335;D006942;D002524;D020234;D001264;D002819;D006948;D009207;D014202;D008580;D002389;D001039;D004401;D003693;D003128;D008607;D006212;D009128;D006261;D005158;D006429;D004244;D006312;D006930;D010292;D004172;D006423;D014717;D001041;D005311;D053609;D007040;D009155;D018458;D013494;D003655;D000849;D000648
DD008288	D007035;D012640;D003371;D002100;D005335;D006942;D002524;D014202;D003128;D006212;D006261;D006429;D011602;D004244;D000419;D006456;D005311;D023341;D045262;D010167;D009846
DD008067	D007035;D018908;D011782;D012021;D012640;D003371;D006469;D001247;D005335;D009767;D002524;D009207;D004401;D008607;D009128;D017116;D006261;D019547;D012585;D005158;D006429;D004244;D014012;D010292;D004172;D001750;D014717;D006685;D000006;D003248;D006396;D012913;D020069;D006628;D006316;D019569
DD000230	D007035;D003490;D018908;D011782;D012640;D000855;D003371;D006469;D015430;D002100;D018496;D001247;D005335;D009767;D013851;D019584;D006942;D002524;D002819;D009207;D004401;D003693;D003128;D008607;D009222;D017116;D006261;D012585;D010148;D005158;D018589;D006429;D014826;D011602;D004244;D006312;D014012;D000857;D006987;D010292;D004172;D006423;D001750;D014717;D006685;D000006;D003085;D003248;D004415;D005414;D006356;D006606;D006396;D004438;D041781;D011695;D016553;D011697;D011141;D003639;D020069;D014550;D005483;D006732;D012607;D000788;D006939;D014840;D006628;D053448;D013494;D000381;D004884
DD007410	D007035;D018908;D012021;D000855;D003968;D003371;D002100;D005335;D009767;D015160;D006942;D003128;D008607;D009123;D011602;D001750;D000006;D003085;D003248;D004415;D005414;D011695;D011697;D007383;D006209;D000334
DD008107	D007035;D003490;D011782;D012021;D012640;D003968;D001049;D003371;D006469;D006935;D006985;D015430;D002100;D001247;D005335;D009767;D002303;D015160;D005316;D006942;D006948;D014202;D002389;D003693;D003128;D008607;D009123;D006261;D006429;D011602;D004244;D010292;D003117;D006472;D000006;D003085;D003248;D004415;D006396;D041781;D011695;D016553;D000419;D005311;D005262;D019462;D006939;D016534;D009846
DD011014	D007035;D003490;D018908;D012021;D012640;D000855;D003968;D001049;D003371;D006469;D006935;D006985;D053120;D015430;D002100;D018496;D001247;D005335;D013851;D002303;D006942;D002524;D008580;D003693;D003128;D008607;D006212;D009128;D006261;D019547;D005158;D006429;D012133;D014826;D004244;D014012;D000006;D003085;D054058;D003248;D006606;D011695;D016553;D003639;D020069;D007040;D014884
DD012131	D007035;D003490;D009127;D018908;D011782;D012021;D012640;D003968;D001049;D003371;D006469;D006935;D006985;D015430;D002100;D012892;D018496;D001247;D005335;D009767;D002303;D005316;D006942;D002524;D009207;D014202;D002389;D004401;D003693;D003128;D008607;D009123;D006261;D019547;D010148;D005158;D006429;D012133;D014826;D011602;D004244;D006930;D010292;D004172;D014717;D006685;D000006;D003248;D006606;D006396;D009058;D012913;D011695;D000419;D014103;D005311;D005222;D006732;D020250;D004418;D007040;D009846;D002639;D016857;D003655;D000334
